5.0, 1.0, 50.0, 0
10.0, 1.0, 50.0, 1
15.0, 1.0, 50.0, 2
20.0, 1.0, 50.0, 3
320.0, 1.0, 750.0, 1
330.0, 1.0, 750.0, 3
340.0, 1.0, 750.0, 2
350.0, 1.0, 750.0, 1
360.0, 1.0, 750.0, 0
220.0, 1.0, 330.0, 1
225.0, 1.0, 330.0, 2
245.0, 1.0, 150.0, 0
240.0, 1.0, 150.0, 3
630.0, 1.0, 0.0, 0
635.0, 1.0, 0.0, 3
640.0, 1.0, 0.0, 1
645.0, 1.0, 0.0, 3
650.0, 1.0, 0.0, 2
655.0, 1.0, 0.0, 1
370.0, 1.0, -220.0, 0
355.0, 1.0, -225.0, 1
340.0, 1.0, -230.0, 3
25.0, 1.0, -220.0, 0
30.0, 1.0, -215.0, 2
35.0, 1.0, -210.0, 1
