0.0, 0.0, 0.0, -20.0, -10.0, -10.0, 50.0, 10.0, 10.0
10.0, 0.0, 350.0, -30.0, -10.0, -10.0, 80.0, 10.0, 10.0
250.0, 0.0, 810.0, -50.0, -10.0, -30.0, 30.0, 10.0, 30.0
330.0, 0.0, 820.0, -20.0, -10.0, -10.0, 10.0, 10.0, 120.0
350.0, 0.0, 750.0, -50.0, -10.0, -10.0, 50.0, 10.0, 10.0
300.0, 0.0, 660.0, -30.0, -10.0, -20.0, 10.0, 10.0, 10.0
240.0, 0.0, 600.0, -30.0, -10.0, -20.0, 10.0, 10.0, 10.0
240.0, 0.0, -20.0, -40.0, -10.0, -30.0, 10.0, 10.0, 10.0
290.0, 0.0, -70.0, -10.0, -10.0, -20.0, 20.0, 10.0, 30.0
350.0, 0.0, -60.0, -20.0, -10.0, -10.0, 20.0, 10.0, 20.0
565.0, 0.0, 125.0, -10.0, -10.0, -50.0, 30.0, 10.0, 50.0
650.0, 0.0, -30.0, -40.0, -10.0, -10.0, 40.0, 10.0, 10.0
600.0, 0.0, -150.0, -30.0, -10.0, -100.0, 10.0, 10.0, 50.0
30.0, 0.0, -180.0, -30.0, -10.0, -30.0, 50.0, 10.0, 80.0
