0.0, 0.0, 0.0, -20.0, -10.0, -10.0, 50.0, 10.0, 10.0
0.0, 0.0, 300.0, -30.0, -10.0, -10.0, 80.0, 10.0, 10.0
-20.0, 0.0, 350.0, -50.0, -10.0, -30.0, 30.0, 10.0, 30.0
-380.0, 0.0, 370.0, -20.0, -10.0, -10.0, 10.0, 10.0, 120.0
300.0, 0.0, 320.0, -50.0, -10.0, -10.0, 50.0, 10.0, 10.0
600.0, 0.0, 600.0, -30.0, -10.0, -20.0, 10.0, 10.0, 10.0
800.0, 0.0, 100.0, -30.0, -10.0, -20.0, 10.0, 10.0, 10.0
600.0, 0.0, -200.0, -40.0, -10.0, -30.0, 10.0, 10.0, 10.0
400.0, 0.0, -500.0, -10.0, -10.0, -20.0, 20.0, 10.0, 30.0
440.0, 0.0, -520.0, -20.0, -10.0, -10.0, 20.0, 10.0, 20.0
500.0, 0.0, -560.0, -10.0, -10.0, -50.0, 30.0, 10.0, 50.0
440.0, 0.0, -600.0, -40.0, -10.0, -10.0, 40.0, 10.0, 10.0
400.0, 0.0, -640.0, -30.0, -10.0, -100.0, 10.0, 10.0, 50.0
200.0, 0.0, -600.0, -30.0, -10.0, -30.0, 50.0, 10.0, 80.0
